CookerStat, GenerateAssetRegistry=0.064317, Initialize=0.256952, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E7D99C6045D5C3AE9B0F6DBE33BDD0DD__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=3051, Duration=3.311567, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_13D8F4B34685A904393D389D49239C87__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2531, Duration=3.954422, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_213F9D20497E00D6DE3F69B37FEE1B0F__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1042, Duration=3.325325, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E80BA14149536159B7F7648D2C1B6E2A__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2050, Duration=3.447883, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C0ACEC67463FBCA907813C845C6C7B4A__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=5267, Duration=3.451400, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1D51E45A4672D9DBF56CFAAF689D6D33__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2951, Duration=3.644992, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A8AC1D8843F137CB0B2D15A86F796B6C__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2076, Duration=3.810428, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4D0CEDB24E76594785775CBB78B9BC4B__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=366, Duration=3.450442, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4B6140CD40C8564026DE4ABCB61CACD3__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=537, Duration=3.264524, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9AE71B154A344DF0A8B529AE2E647E3E__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2555, Duration=3.991224, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D50D7F1146558C4158892992590DC8CA__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1921, Duration=4.642717, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BEEE810A4F884838575050BBCE26C144__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2808, Duration=12.296852, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E0CD6AD748B4CB7DADEB239EA5F0E96F__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1370, Duration=3.210772, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
